,OR1 Spleen,OR1 LN,OR2 Spleen,OR2 LN,OR3 Spleen,OR3 LN
0,339174,230338,549759,329131,683943,403132
1,186238,122955,254022,187743,395142,216215
2,141599,116949,196704,136321,306765,203455
3,147852,133707,190232,148048,318279,222697
4,120581,111795,167275,128441,288627,192135
5,76520,66454,108235,94467,190940,162842
6,50270,45749,62599,57838,118104,85510
7,32807,38573,43193,41493,79526,49363
8,27795,19574,26737,40623,44748,58796
9,15684,16337,16516,21713,28219,21718
10,8611,8851,11316,9881,22579,21817
11,5385,3190,6104,4774,11680,11928
12,2900,3354,4059,3100,8829,9924
13,1880,1336,3352,2278,4923,3215
14,874,716,1312,1450,2454,2314
15,762,503,1092,784,1906,4931
16,680,404,601,505,1044,968
17,278,387,979,1036,636,848
18,299,205,197,296,615,818
19,178,100,191,244,608,1242
20,167,103,219,134,250,215
21,149,142,126,91,193,131
22,56,41,56,81,160,138
23,59,32,53,366,123,123
24,35,26,163,52,84,130
25,16,16,34,32,110,58
26,17,11,25,24,50,33
27,16,395,12,50,39,925
28,14,26,63,13,26,22
29,12,11,9,10,35,22
30,9,15,8,6,53,15
31,6,3,4,7,18,8
32,1,4,9,14,8,4
33,4,2,6,5,8,3
34,2,4,3,2,16,4
35,0,0,1,0,3,5
36,2,4,0,1,6,1
37,0,4,1,1,0,0
38,3,1,0,1,1,1
39,2,4,0,2,0,0
40,1,0,1,0,2,1
41,0,1,0,1,0,0
42,1,0,3,0,0,0
44,0,0,0,4,1,0
45,1,0,1,0,0,0
46,0,0,1,0,0,0
47,0,0,0,1,0,0
48,3,0,0,0,0,0
49,1,0,0,0,0,0
50,0,0,0,1,2,0
52,0,0,0,0,1,0
54,0,0,1,0,3,0
55,1,0,0,0,1,0
56,0,0,1,0,0,3
59,0,0,1,1,0,0
69,0,0,0,0,1,0
76,0,0,0,1,0,0
108,0,0,0,0,0,1
122,0,0,0,0,0,1
128,0,0,0,0,0,1
145,1,0,0,0,0,0
149,0,0,0,1,0,0
155,0,0,0,1,0,0
157,0,1,0,0,0,0
176,0,0,0,0,1,0
