,OR1 Spleen,OR1 LN,OR2 Spleen,OR2 LN,OR3 Spleen,OR3 LN
IGHJ1,21226,20593,12200,29160,14555,40653
IGHJ2,64518,43304,29076,54338,25481,76739
IGHJ3,161872,134157,77505,211815,118070,287848
IGHJ4,1107426,802186,632400,1151636,845800,1757754
IGHJ5,143030,93099,73154,110758,79461,177201
IGHJ6,184877,75538,102407,107501,135724,189482
