,1
0,238754
1,104461
2,97116
3,84259
4,81960
5,70735
6,61906
7,48137
8,45815
9,35309
10,27749
11,21869
12,17206
13,15465
14,9972
15,8884
16,6423
17,4848
18,3413
19,3344
20,2359
21,1905
22,1746
23,1239
24,862
25,716
26,616
27,601
28,404
29,363
30,243
31,396
32,194
33,174
34,89
35,82
36,50
37,19
38,74
39,46
40,20
41,42
42,19
43,9
44,28
45,10
46,13
47,4
48,8
50,15
51,7
52,4
54,5
57,8
59,1
69,1
117,2
204,1
