,1
0,205190
1,95635
2,82562
3,88385
4,80748
5,77180
6,61113
7,54053
8,44677
9,37363
10,32614
11,27296
12,23286
13,18218
14,13947
15,11339
16,8356
17,6448
18,6458
19,3998
20,3964
21,2892
22,3122
23,1692
24,1703
25,1841
26,1332
27,743
28,568
29,370
30,421
31,661
32,554
33,159
34,180
35,111
36,80
37,92
38,327
39,55
40,40
41,31
42,26
43,26
44,31
45,24
46,9
47,9
48,7
49,7
50,2
51,16
52,8
53,7
54,3
55,1
56,1
58,1
59,1
60,1
61,3
62,2
64,1
67,1
70,3
72,2
73,1
89,1
116,1
126,1
