,Human1,Human2,Human3,Human4,Human5,Human6,Human7,Human8,Human9,Human10
IGHJ1,208491,272901,797887,1697053,280509,681299,471259,220069,284662,159263
IGHJ2,182243,232238,898228,1510509,205837,684898,339324,187596,359586,146064
IGHJ3,836276,2166462,9386326,12976673,2094197,3980509,2192730,1425098,2442656,893790
IGHJ4,7210174,14699253,46371129,51241968,10619738,25861658,21928613,8421951,16316990,6530044
IGHJ5,1988909,3728753,14686974,12206314,3010965,5522472,5716499,1977091,5976593,1942851
IGHJ6,1341489,3493125,14496904,10966208,1780250,3232733,5077463,1284014,5586761,2074269
