,1
0,217173
1,101898
2,89812
3,95088
4,82329
5,71558
6,62705
7,52034
8,49122
9,36939
10,30535
11,23764
12,18913
13,16375
14,11208
15,8293
16,6410
17,5287
18,3915
19,3523
20,2419
21,1974
22,1455
23,1697
24,879
25,987
26,639
27,506
28,464
29,280
30,667
31,212
32,182
33,135
34,200
35,74
36,81
37,49
38,42
39,34
40,31
41,41
42,16
43,12
44,12
45,4
46,5
47,5
48,4
49,1
51,5
52,3
58,2
59,1
103,1
