,1
0,142720
1,85521
2,76818
3,102212
4,84203
5,82949
6,73571
7,64240
8,52824
9,46827
10,41533
11,32649
12,28388
13,20688
14,13710
15,12311
16,9142
17,6424
18,5089
19,5114
20,2983
21,1844
22,2290
23,1321
24,885
25,846
26,618
27,480
28,276
29,306
30,223
31,272
32,131
33,146
34,82
35,82
36,70
37,32
38,14
39,20
40,29
41,12
42,5
43,16
44,5
45,10
47,1
48,23
49,20
50,14
56,9
63,1
81,1
