,1
0,988
1,455
2,426
3,409
4,411
5,331
6,281
7,229
8,224
9,179
10,139
11,96
12,92
13,76
14,56
15,47
16,31
17,25
18,19
19,10
20,13
21,8
22,5
23,5
24,7
25,5
26,1
27,3
28,4
29,3
30,1
31,1
33,1
36,1
