,1
0,215951
1,102786
2,84488
3,89868
4,79286
5,70429
6,61493
7,53528
8,44173
9,37438
10,31729
11,25045
12,20146
13,16836
14,13101
15,10548
16,8486
17,6283
18,5428
19,4288
20,3260
21,2702
22,2437
23,1721
24,1458
25,1335
26,1092
27,788
28,731
29,502
30,501
31,355
32,247
33,244
34,204
35,253
36,125
37,127
38,104
39,74
40,63
41,55
42,59
43,42
44,36
45,24
46,26
47,23
48,9
49,11
50,8
51,2
52,5
53,6
54,11
55,4
56,6
58,3
59,3
60,1
61,2
62,1
63,2
65,1
70,1
71,1
75,2
77,1
156,1
210,1
