,1
0,147279
1,87207
2,77958
3,89396
4,89521
5,81809
6,72901
7,65650
8,54556
9,48980
10,40695
11,30197
12,25385
13,19970
14,15597
15,12887
16,8949
17,6838
18,5728
19,3693
20,3168
21,2642
22,1775
23,1604
24,1318
25,866
26,661
27,619
28,373
29,323
30,217
31,153
32,154
33,135
34,117
35,84
36,112
37,93
38,41
39,83
40,78
41,23
42,11
43,21
44,38
45,16
46,48
47,22
49,1
50,1
51,1
56,1
57,2
58,1
59,1
142,1
