,1
0,251150
1,114223
2,94931
3,99297
4,83594
5,71175
6,58245
7,48236
8,40352
9,31680
10,24548
11,18665
12,14451
13,11678
14,8883
15,6447
16,4657
17,4344
18,2880
19,2019
20,1891
21,1428
22,1205
23,791
24,572
25,631
26,335
27,295
28,283
29,245
30,146
31,120
32,108
33,84
34,80
35,55
36,37
37,34
38,50
39,23
40,15
41,15
42,8
43,28
44,3
45,3
46,3
47,5
48,6
49,1
50,1
51,6
52,3
53,2
54,3
56,1
57,1
58,3
59,1
61,1
62,11
63,1
64,1
66,1
68,1
73,1
75,1
76,3
193,1
194,1
240,1
