,1
0,233695
1,107188
2,89973
3,94361
4,84473
5,70799
6,62438
7,48365
8,43320
9,34377
10,27514
11,22310
12,20149
13,14349
14,10780
15,7558
16,5349
17,4778
18,3584
19,2596
20,2180
21,1933
22,1611
23,1294
24,1102
25,823
26,792
27,553
28,331
29,283
30,164
31,264
32,149
33,109
34,48
35,100
36,83
37,40
38,18
39,35
40,23
41,43
42,23
43,3
44,3
45,23
48,1
49,1
52,1
53,1
54,1
55,3
61,4
62,1
259,1
