,1
0,127363
1,72893
2,71197
3,88269
4,87229
5,78027
6,73569
7,82682
8,57917
9,49186
10,45260
11,33063
12,27946
13,24639
14,17884
15,15206
16,11101
17,8732
18,6533
19,4731
20,3210
21,3687
22,2009
23,1497
24,998
25,939
26,742
27,699
28,443
29,502
30,345
31,228
32,271
33,177
34,306
35,119
36,58
37,66
38,46
39,40
40,45
41,26
42,22
43,21
44,12
45,10
46,5
47,5
48,18
49,7
50,3
51,2
52,1
53,2
54,1
55,1
57,3
61,1
65,3
71,2
136,1
