,1
0,213539
1,100937
2,87440
3,85661
4,82090
5,74261
6,62286
7,52711
8,44763
9,37122
10,31711
11,25673
12,20399
13,15934
14,12491
15,11518
16,8386
17,6329
18,4995
19,3990
20,2959
21,2739
22,2104
23,1911
24,1198
25,1056
26,778
27,716
28,508
29,428
30,573
31,382
32,252
33,253
34,159
35,213
36,110
37,98
38,160
39,60
40,79
41,32
42,36
43,272
44,250
45,342
46,17
47,11
48,8
49,13
50,4
51,3
52,6
53,4
54,6
55,3
56,1
57,5
60,3
61,1
62,2
64,1
65,3
69,1
74,2
76,1
86,1
