,1
0,712
1,385
2,365
3,416
4,390
5,368
6,320
7,293
8,254
9,219
10,213
11,162
12,115
13,94
14,55
15,64
16,47
17,23
18,18
19,17
20,17
21,6
22,4
23,7
24,3
25,3
26,2
27,1
28,2
29,1
30,1
32,2
35,1
37,1
50,1
