,1
0,137043
1,76039
2,75268
3,86929
4,88598
5,83461
6,75249
7,67848
8,57690
9,49992
10,43115
11,34336
12,27149
13,21964
14,16784
15,13756
16,10971
17,7244
18,5467
19,4419
20,3462
21,2870
22,2074
23,1540
24,1160
25,983
26,941
27,575
28,732
29,422
30,270
31,647
32,228
33,145
34,97
35,97
36,89
37,81
38,44
39,60
40,23
41,13
42,15
43,10
44,16
45,9
46,5
47,8
48,17
49,3
50,21
51,4
52,4
53,3
54,1
55,2
56,3
57,1
67,2
185,1
