,1
0,158819
1,70660
2,62833
3,66082
4,54246
5,47491
6,41367
7,35302
8,29189
9,24997
10,19822
11,16241
12,12590
13,10189
14,7397
15,5701
16,4355
17,3392
18,2579
19,2109
20,1641
21,1431
22,1090
23,895
24,732
25,591
26,482
27,369
28,343
29,262
30,226
31,133
32,139
33,129
34,89
35,56
36,76
37,56
38,42
39,32
40,20
41,30
42,8
43,25
44,14
45,42
46,16
47,11
48,7
49,4
50,4
51,2
52,3
53,1
54,5
57,2
59,1
60,1
95,1
158,1
202,1
